Trial,Duration,Number of bumps into walls
1,73.280000000000001,12
2,203.69,39
3,164.09999999999999,51
4,137.12,41
5,26.399999999999999,0
6,26.5,0
7,123.5,25
8,85.420000000000002,0
9,54.759999999999998,9
10,32.810000000000002,0
11,75.510000000000005,25
12,112.69,43
13,111.59,26
14,56.409999999999997,2
15,39.700000000000003,0
16,90.209999999999994,32
17,90.060000000000002,13
18,44.5,0
19,52.109999999999999,3
20,42.299999999999997,2
21,67.299999999999997,5
22,32.899999999999999,0
23,95.200000000000003,26
24,56.030000000000001,1
25,23.510000000000002,0
26,64.579999999999998,2
27,25.699999999999999,0
28,58.530000000000001,17
29,97.680000000000007,13
30,32.710000000000001,0
