Trial,Duration,Number of bumps into walls
1,31.440000000000001,0
2,18.489999999999998,0
3,275.47000000000003,83
4,79.310000000000002,27
5,27.309999999999999,0
6,24.399999999999999,0
7,109.5,0
8,38.710000000000001,0
9,96.5,15
10,44.200000000000003,1
11,53.590000000000003,2
12,39.399999999999999,0
13,119.56999999999999,5
14,68.569999999999993,1
15,36.020000000000003,0
16,102.64,4
17,31.0,0
18,82.900000000000006,0
19,19.289999999999999,0
20,39.369999999999997,0
21,189.28999999999999,16
22,87.890000000000001,0
23,80.890000000000001,0
24,60.880000000000003,0
25,90.680000000000007,6
26,20.809999999999999,0
27,87.019999999999996,1
28,55.009999999999998,1
29,21.890000000000001,0
30,46.579999999999998,0
