Trial,Duration,Number of bumps into walls
1,37.520000000000003,0
2,119.22,22
3,94.200000000000003,23
4,35.039999999999999,0
5,30.600000000000001,0
6,32.390000000000001,0
7,58.079999999999998,3
8,24.829999999999998,0
9,50.880000000000003,0
10,29.91,0
11,0.10000000000000001,0
12,85.560000000000002,1
13,203.12,5
14,59.490000000000002,2
15,57.43,0
16,128.0,2
17,33.100000000000001,0
18,55.990000000000002,0
19,37.289999999999999,0
20,56.600000000000001,0
21,57.509999999999998,0
22,112.5,3
23,76.959999999999994,1
24,38.600000000000001,0
25,46.619999999999997,0
26,137.62,3
27,237.52000000000001,11
28,70.469999999999999,0
29,49.390000000000001,0
30,90.329999999999998,4
31,81.439999999999998,3
32,75.540000000000006,0
33,75.480000000000004,0
34,141.94999999999999,3
35,197.59999999999999,8
36,45.539999999999999,0
37,72.420000000000002,0
38,34.590000000000003,0
39,53.700000000000003,19
40,45.030000000000001,0
41,31.489999999999998,0
42,42.340000000000003,0
43,0.12,0
44,83.180000000000007,0
45,0.11,0
46,36.609999999999999,0
47,43.200000000000003,7
48,263.60000000000002,15
49,28.5,0
50,97.319999999999993,4
51,38.219999999999999,0
52,78.859999999999999,0
53,41.740000000000002,0
54,0.17000000000000001,0
55,159.87,5
56,198.53,3
57,76.129999999999995,0
58,26.59,0
59,115.19,3
60,84.519999999999996,2
61,593.24000000000001,13
62,160.97,2
63,0.10000000000000001,0
64,151.21000000000001,0
65,98.840000000000003,0
66,0.19,0
67,92.689999999999998,0
68,53.68,0
69,131.25,4
70,21.109999999999999,0
71,37.259999999999998,0
72,119.41,0
73,67.349999999999994,0
74,35.579999999999998,0
75,0.070000000000000007,0
76,46.210000000000001,0
77,56.259999999999998,0
78,19.539999999999999,0
79,73.969999999999999,7
80,445.98000000000002,46
81,105.56,0
82,154.69,55
83,130.88999999999999,11
84,474.17000000000002,3
85,38.030000000000001,0
86,46.780000000000001,32
87,470.32999999999998,49
88,48.549999999999997,0
89,43.090000000000003,0
90,46.32,1
91,0.070000000000000007,0
92,59.5,0
93,139.91999999999999,3
94,117.08,0
95,61.200000000000003,1
96,88.829999999999998,18
97,79.400000000000006,2
98,234.21000000000001,98
99,31.59,0
100,111.77,10
101,0.17999999999999999,0
102,19.34,0
103,22.280000000000001,0
104,191.53999999999999,93
105,53.329999999999998,0
106,51.18,0
107,134.88999999999999,0
108,48.409999999999997,1
109,79.079999999999998,0
110,48.18,0
