Trial,Duration,Number of bumps into walls
1,134.03999999999999,4
2,0.19,0
3,189.80000000000001,13
4,122.51000000000001,0
5,46.840000000000003,0
6,34.740000000000002,0
7,93.629999999999995,5
8,46.719999999999999,5
9,105.67,27
10,26.699999999999999,0
11,41.920000000000002,0
12,84.579999999999998,6
13,37.619999999999997,0
14,88.340000000000003,14
15,41.289999999999999,4
16,54.409999999999997,0
17,75.0,0
18,54.789999999999999,0
19,51.82,0
20,135.49000000000001,2
21,0.080000000000000002,0
22,39.009999999999998,0
23,34.799999999999997,0
24,0.070000000000000007,0
25,36.810000000000002,0
26,20.59,0
27,30.390000000000001,0
28,0.050000000000000003,0
29,49.579999999999998,0
30,53.630000000000003,1
31,41.969999999999999,2
32,40.170000000000002,0
33,43.100000000000001,0
34,42.799999999999997,0
35,65.090000000000003,0
36,70.659999999999997,0
37,42.869999999999997,0
38,22.530000000000001,0
39,25.219999999999999,0
40,41.700000000000003,0
41,40.0,0
42,64.409999999999997,0
43,86.950000000000003,2
44,59.240000000000002,0
45,72.090000000000003,1
46,0.20000000000000001,0
47,42.049999999999997,0
48,188.88999999999999,2
49,64.900000000000006,0
50,63.640000000000001,0
