Trial,Duration,Number of bumps into walls
1,95.040000000000006,12
2,29.18,0
3,54.710000000000001,4
4,44.700000000000003,0
5,71.680000000000007,1
6,105.5,7
7,19.920000000000002,0
8,33.979999999999997,0
9,35.200000000000003,0
10,38.530000000000001,0
11,46.770000000000003,4
12,35.100000000000001,0
13,21.850000000000001,0
14,26.469999999999999,0
15,43.5,0
16,57.479999999999997,19
17,118.8,88
18,22.809999999999999,18
19,25.890000000000001,0
20,72.099999999999994,15
21,57.399999999999999,1
22,39.829999999999998,6
23,62.990000000000002,3
24,69.689999999999998,13
25,37.530000000000001,0
26,65.489999999999995,15
27,33.189999999999998,0
28,39.210000000000001,1
29,27.789999999999999,0
30,74.400000000000006,1
31,54.109999999999999,1
32,35.200000000000003,0
33,29.510000000000002,0
34,77.780000000000001,0
35,71.700000000000003,1
36,26.109999999999999,0
37,36.100000000000001,0
38,26.5,0
39,71.299999999999997,0
40,31.5,0
41,113.48999999999999,0
42,34.420000000000002,0
43,59.700000000000003,22
44,47.630000000000003,2
45,94.959999999999994,3
46,23.899999999999999,0
47,54.689999999999998,2
48,30.510000000000002,0
49,22.780000000000001,0
50,73.209999999999994,7
51,33.399999999999999,1
52,55.780000000000001,0
53,40.140000000000001,7
54,133.56999999999999,14
55,26.920000000000002,0
56,56.399999999999999,0
57,139.53,4
58,39.710000000000001,0
59,113.5,0
60,53.799999999999997,0
61,139.91999999999999,9
62,32.560000000000002,0
63,45.600000000000001,1
64,30.309999999999999,0
65,38.899999999999999,17
66,0.10000000000000001,0
67,51.789999999999999,0
68,25.82,0
69,34.079999999999998,0
70,109.64,3
71,62.490000000000002,0
72,53.409999999999997,0
73,0.10000000000000001,0
74,76.879999999999995,0
75,59.789999999999999,0
76,80.680000000000007,0
77,49.5,0
78,50.100000000000001,0
79,61.520000000000003,0
80,52.689999999999998,0
81,43.490000000000002,0
82,45.299999999999997,0
83,50.82,0
84,63.789999999999999,0
85,34.030000000000001,0
86,68.920000000000002,0
87,23.199999999999999,0
88,35.710000000000001,0
89,38.600000000000001,0
90,36.479999999999997,0
91,18.620000000000001,0
92,104.17,0
93,64.609999999999999,0
94,58.350000000000001,0
95,52.630000000000003,0
96,34.590000000000003,0
97,34.509999999999998,0
98,0.11,0
99,58.979999999999997,0
100,23.600000000000001,0
101,39.600000000000001,0
102,56.600000000000001,0
103,51.259999999999998,0
104,42.640000000000001,0
105,48.450000000000003,0
106,49.950000000000003,0
107,72.379999999999995,0
108,51.759999999999998,0
109,55.560000000000002,0
110,44.939999999999998,0
