Trial,Duration,Number of bumps into walls
1,148.59,16
2,79.290000000000006,0
3,74.280000000000001,0
4,95.280000000000001,7
5,51.869999999999997,2
6,24.690000000000001,6
7,21.010000000000002,0
8,19.48,0
9,63.920000000000002,0
10,26.600000000000001,0
11,39.590000000000003,11
12,40.57,2
13,91.200000000000003,0
14,79.069999999999993,0
15,70.590000000000003,3
16,76.939999999999998,0
17,63.340000000000003,0
18,183.34,1
19,102.94,6
20,0.28999999999999998,0
21,47.579999999999998,0
22,129.96000000000001,0
23,123.54000000000001,2
24,37.799999999999997,0
25,51.909999999999997,0
26,73.340000000000003,0
27,49.840000000000003,0
28,32.200000000000003,0
29,31.719999999999999,0
30,36.170000000000002,0
