Trial,Duration,Number of bumps into walls
1,90.540000000000006,39
2,27.199999999999999,0
3,39.5,0
4,72.090000000000003,22
5,86.810000000000002,19
6,66.200000000000003,9
7,39.799999999999997,0
8,71.599999999999994,2
9,27.100000000000001,0
10,26.800000000000001,0
11,80.810000000000002,21
12,48.090000000000003,0
13,53.700000000000003,0
14,28.890000000000001,0
15,29.489999999999998,2
16,30.59,0
17,19.809999999999999,0
18,107.3,30
19,75.010000000000005,14
20,25.600000000000001,0
21,24.300000000000001,0
22,49.700000000000003,5
23,39.700000000000003,0
24,45.0,3
25,153.41999999999999,33
26,61.18,2
27,41.329999999999998,0
28,38.579999999999998,0
29,64.409999999999997,17
30,132.47999999999999,38
