Trial,Duration,Number of bumps into walls
1,150.90000000000001,15
2,91.75,14
3,62.630000000000003,3
4,60.5,0
5,96.620000000000005,4
6,93.219999999999999,0
7,33.609999999999999,18
8,50.210000000000001,0
9,62.109999999999999,0
10,81.120000000000005,0
11,75.390000000000001,0
12,115.87,0
13,86.200000000000003,17
14,393.76999999999998,68
15,177.53999999999999,1
16,34.719999999999999,0
17,89.560000000000002,0
18,43.090000000000003,2
19,113.8,16
20,278.42000000000002,41
21,1762.24,46
22,65.769999999999996,0
23,430.58999999999997,10
24,277.32999999999998,19
25,577.96000000000004,7
26,95.079999999999998,0
27,28.57,0
28,24.32,0
29,480.94,13
30,59.850000000000001,0
