Trial,Duration,Number of bumps into walls
1,33.93,1
2,199.12,39
3,129.84999999999999,5
4,0.050000000000000003,0
5,36.619999999999997,0
6,33.200000000000003,0
7,110.25,2
8,0.13,0
9,90.099999999999994,4
10,40.579999999999998,0
11,134.03,8
12,65.780000000000001,1
13,60.579999999999998,2
14,86.799999999999997,0
15,149.63999999999999,4
16,71.590000000000003,4
17,157.38999999999999,8
18,19.829999999999998,0
19,28.98,0
20,73.090000000000003,0
21,58.109999999999999,3
22,60.920000000000002,2
23,119.0,0
24,43.390000000000001,0
25,135.06999999999999,3
26,0.11,0
27,71.489999999999995,0
28,73.099999999999994,14
29,63.310000000000002,0
30,116.02,0
31,55.649999999999999,3
32,90.620000000000005,0
33,23.27,1
34,32.289999999999999,0
35,60.020000000000003,24
36,39.689999999999998,1
37,62.619999999999997,0
38,0.089999999999999997,0
39,40.399999999999999,0
40,202.59999999999999,18
41,18.5,0
42,50.899999999999999,3
43,114.0,5
44,51.299999999999997,5
45,163.30000000000001,2
46,65.079999999999998,8
47,104.51000000000001,0
48,57.159999999999997,0
49,55.189999999999998,0
50,34.530000000000001,0
51,102.20999999999999,5
52,63.280000000000001,4
53,25.18,0
54,38.710000000000001,0
55,23.079999999999998,0
56,79.200000000000003,0
57,53.090000000000003,0
58,0.11,0
59,157.86000000000001,2
60,76.480000000000004,0
61,52.399999999999999,0
62,47.909999999999997,0
63,41.0,0
64,171.65000000000001,21
65,56.869999999999997,0
66,67.799999999999997,0
67,53.109999999999999,0
68,57.289999999999999,0
69,43.890000000000001,1
70,24.02,0
71,27.260000000000002,0
72,45.600000000000001,0
73,81.700000000000003,0
74,31.260000000000002,0
75,0.10000000000000001,0
76,80.379999999999995,0
77,143.69999999999999,7
78,35.700000000000003,0
79,17.800000000000001,0
80,19.5,0
81,82.840000000000003,2
82,0.059999999999999998,0
83,59.329999999999998,1
84,0.070000000000000007,0
85,51.700000000000003,0
86,35.079999999999998,0
87,55.009999999999998,0
88,48.289999999999999,0
89,35.799999999999997,0
90,37.960000000000001,0
91,0.14000000000000001,0
92,28.539999999999999,0
93,75.0,0
94,39.5,0
95,74.280000000000001,0
96,0.080000000000000002,0
97,61.850000000000001,2
98,65.420000000000002,2
99,37.899999999999999,0
100,31.609999999999999,0
