Trial,Duration,Number of bumps into walls
1,116.39,10
2,103.23999999999999,7
3,61.68,1
4,77.400000000000006,4
5,56.210000000000001,2
6,110.31999999999999,3
7,97.420000000000002,8
8,40.490000000000002,0
9,54.109999999999999,7
10,20.420000000000002,0
11,0.059999999999999998,0
12,34.210000000000001,0
13,31.760000000000002,0
14,93.530000000000001,6
15,40.719999999999999,0
16,52.439999999999998,0
17,70.099999999999994,0
18,80.290000000000006,0
19,161.69999999999999,39
20,0.070000000000000007,0
21,54.700000000000003,0
22,19.809999999999999,0
23,42.020000000000003,6
24,0.10000000000000001,0
25,87.170000000000002,7
26,45.5,2
27,31.010000000000002,0
28,0.10000000000000001,0
29,60.969999999999999,0
30,36.960000000000001,0
31,54.630000000000003,0
32,52.159999999999997,1
33,141.81,6
34,42.520000000000003,0
35,0.10000000000000001,0
36,28.98,0
37,47.390000000000001,0
38,37.789999999999999,0
39,58.520000000000003,1
40,151.72,4
41,61.420000000000002,3
42,42.600000000000001,0
43,30.199999999999999,0
44,70.579999999999998,0
45,47.130000000000003,0
46,36.090000000000003,1
47,41.840000000000003,0
48,35.140000000000001,0
49,24.32,0
50,56.909999999999997,0
