Trial,Duration,Number of bumps into walls
1,151.00999999999999,9
2,38.090000000000003,1
3,42.409999999999997,0
4,42.710000000000001,3
5,68.700000000000003,1
6,34.700000000000003,6
7,139.28,2
8,39.700000000000003,6
9,28.800000000000001,26
10,39.100000000000001,1
11,79.519999999999996,27
12,42.009999999999998,0
13,272.68000000000001,62
14,66.319999999999993,1
15,40.359999999999999,1
16,118.3,27
17,478.51999999999998,42
18,27.5,0
19,23.300000000000001,0
20,18.0,0
21,60.0,1
22,147.5,9
23,464.0,235
24,201.5,53
25,25.899999999999999,0
26,18.699999999999999,0
